nom,cog,catpop,nom_propre,nom_propre_et_dep,taux_hlm_legal,taux_hlm_2015,nb_menages_2013,uc_par_menage,revenu_median_uc,decile_revenu,nb_res_secondaires
SMARVES,86263,Entre 1 000 et  3 499 habitants,Smarves,Smarves (86),,,1056,1.86,22190,8,24
SOMMIERES-DU-CLAIN,86264,Entre 500 et 999 habitants,Sommières-du-Clain,Sommières-du-Clain (86),,,325,1.89,16967,1,49
SOSSAY,86265,Moins de 500 habitants,Sossais,Sossais (86),,,193,1.95,19625,5,11
TERCE,86268,Entre 1 000 et  3 499 habitants,Tercé,Tercé (86),,,456,1.92,20810,7,23
THOLLET,86270,Moins de 500 habitants,Thollet,Thollet (86),,,85,1.68,15999,1,44
THURAGEAU,86271,Entre 500 et 999 habitants,Thurageau,Thurageau (86),,,329,1.93,19171,5,22
PIACE,72235,Moins de 500 habitants,Piacé,Piacé (72),,,154,1.83,19801,5,19
PINCE,72236,Moins de 500 habitants,Pincé,Pincé (72),,,80,1.93,20623,7,10
PIRMIL,72237,Entre 500 et 999 habitants,Pirmil,Pirmil (72),,,184,2.11,19719,5,23
PIZIEUX,72238,Moins de 500 habitants,Pizieux,Pizieux (72),,,32,1.90,0,10,2
POILLE-SUR-VEGRE,72239,Entre 500 et 999 habitants,Poillé-sur-Vègre,Poillé-sur-Vègre (72),,,239,2.01,19108,5,30
PONCE-SUR-LE-LOIR,72240,Moins de 500 habitants,Poncé-sur-le-Loir,Poncé-sur-le-Loir (72),,,194,1.59,18545,3,73
MONTFORT-LE-GESNOIS,72241,Entre 1 000 et  3 499 habitants,Montfort-le-Gesnois,Montfort-le-Gesnois (72),,,1245,1.87,19983,6,52
PONTVALLAIN,72243,Entre 1 000 et  3 499 habitants,Pontvallain,Pontvallain (72),,,651,2.01,18840,4,80
PRECIGNE,72244,Entre 1 000 et  3 499 habitants,Précigné,Précigné (72),,,1208,1.85,19445,5,61
PREVAL,72245,Entre 500 et 999 habitants,Préval,Préval (72),,,252,2.03,19419,5,12
PREVELLES,72246,Moins de 500 habitants,Prévelles,Prévelles (72),,,96,2.06,18360,3,33
PRUILLE-LE-CHETIF,72247,Entre 1 000 et  3 499 habitants,Pruillé-le-Chétif,Pruillé-le-Chétif (72),,,488,2.01,23777,9,8
PRUILLE-L'EGUILLE,72248,Entre 500 et 999 habitants,Pruillé-l'Éguillé,Pruillé-l'Éguillé (72),,,332,1.88,17963,3,91
QUINTE (LA ),72249,Entre 500 et 999 habitants,La Quinte,La Quinte (72),,,292,2.10,21105,7,14
RAHAY,72250,Moins de 500 habitants,Rahay,Rahay (72),,,86,1.96,16673,1,28
RENE,72251,Moins de 500 habitants,René,René (72),,,156,1.87,17460,2,23
REQUEIL,72252,Entre 1 000 et  3 499 habitants,Requeil,Requeil (72),,,468,1.94,18505,3,33
ROEZE-SUR-SARTHE,72253,Entre 1 000 et  3 499 habitants,Roézé-sur-Sarthe,Roézé-sur-Sarthe (72),,,978,2.03,21345,7,29
ROUESSE-FONTAINE,72254,Moins de 500 habitants,Rouessé-Fontaine,Rouessé-Fontaine (72),,,125,1.82,19668,5,18
ROUESSE-VASSE,72255,Entre 500 et 999 habitants,Rouessé-Vassé,Rouessé-Vassé (72),,,330,1.89,17837,2,43
ROUEZ,72256,Entre 500 et 999 habitants,Rouez,Rouez (72),,,305,1.96,18594,4,40
ROUILLON,72257,Entre 1 000 et  3 499 habitants,Rouillon,Rouillon (72),,,858,1.96,25464,9,9
ROUPERROUX-LE-COQUET,72259,Moins de 500 habitants,Rouperroux-le-Coquet,Rouperroux-le-Coquet (72),,,115,2.01,17648,2,27
RUILLE-EN-CHAMPAGNE,72261,Moins de 500 habitants,Ruillé-en-Champagne,Ruillé-en-Champagne (72),,,132,1.98,18890,4,35
RUILLE-SUR-LOIR,72262,Entre 1 000 et  3 499 habitants,Ruillé-sur-Loir,Ruillé-sur-Loir (72),,,498,1.67,19513,5,104
SAINT-AIGNAN,72265,Moins de 500 habitants,Saint-Aignan,Saint-Aignan (72),,,116,1.86,18221,3,47
SAINT-AUBIN-DE-LOCQUENAY,72266,Entre 500 et 999 habitants,Saint-Aubin-de-Locquenay,Saint-Aubin-de-Locquenay (72),,,316,1.76,20025,6,70
SAINT-AUBIN-DES-COUDRAIS,72267,Entre 500 et 999 habitants,Saint-Aubin-des-Coudrais,Saint-Aubin-des-Coudrais (72),,,389,1.88,19877,6,36
SAINT-CALAIS,72269,Entre 3 500 et 9 999 habitants,Saint-Calais,Saint-Calais (72),,,1581,1.55,18541,3,85
SAINT-CALEZ-EN-SAOSNOIS,72270,Moins de 500 habitants,Saint-Calez-en-Saosnois,Saint-Calez-en-Saosnois (72),,,69,1.87,20785,7,28
SAINT-CELERIN,72271,Entre 500 et 999 habitants,Saint-Célerin,Saint-Célerin (72),,,310,2.07,18588,3,36
SAINTE-CEROTTE,72272,Moins de 500 habitants,Sainte-Cérotte,Sainte-Cérotte (72),,,148,1.69,19778,5,17
SAINT-CHRISTOPHE-EN-CHAMPAGNE,72274,Moins de 500 habitants,Saint-Christophe-en-Champagne,Saint-Christophe-en-Champagne (72),,,78,2.00,19957,6,22
SAINT-CORNEILLE,72275,Entre 1 000 et  3 499 habitants,Saint-Corneille,Saint-Corneille (72),,,488,2.09,20457,6,13
SAINT-COSME-EN-VAIRAIS,72276,Entre 1 000 et  3 499 habitants,Saint-Cosme-en-Vairais,Saint-Cosme-en-Vairais (72),,,914,1.73,19076,5,101
SAINT-DENIS-DES-COUDRAIS,72277,Moins de 500 habitants,Saint-Denis-des-Coudrais,Saint-Denis-des-Coudrais (72),,,48,1.89,20484,6,23
SAINT-DENIS-D'ORQUES,72278,Entre 500 et 999 habitants,Saint-Denis-d'Orques,Saint-Denis-d'Orques (72),,,355,1.77,17570,2,76
SAINT-GEORGES-DE-LA-COUEE,72279,Moins de 500 habitants,Saint-Georges-de-la-Couée,Saint-Georges-de-la-Couée (72),,,82,1.65,16097,1,57
SAINT-GEORGES-DU-BOIS,72280,Entre 1 000 et  3 499 habitants,Saint-Georges-du-Bois,Saint-Georges-du-Bois (72),,,793,1.93,22689,8,7
SAINT-GEORGES-LE-GAULTIER,72282,Entre 500 et 999 habitants,Saint-Georges-le-Gaultier,Saint-Georges-le-Gaultier (72),,,231,1.76,16982,1,42
SAINT-GERMAIN-D'ARCE,72283,Moins de 500 habitants,Saint-Germain-d'Arcé,Saint-Germain-d'Arcé (72),,,160,1.81,17731,2,32
SAINT-GERMAIN-SUR-SARTHE,72284,Entre 500 et 999 habitants,Saint-Germain-sur-Sarthe,Saint-Germain-sur-Sarthe (72),,,218,2.01,19468,5,31
SAINT-GERVAIS-DE-VIC,72286,Moins de 500 habitants,Saint-Gervais-de-Vic,Saint-Gervais-de-Vic (72),,,163,1.86,20738,7,25
SAINT-HILAIRE-LE-LIERRU,72288,Moins de 500 habitants,,,,,58,2.01,20125,6,10
SAINTE-JAMME-SUR-SARTHE,72289,Entre 1 000 et  3 499 habitants,Sainte-Jamme-sur-Sarthe,Sainte-Jamme-sur-Sarthe (72),,,822,1.91,19192,5,23
SAINT-JEAN-D'ASSE,72290,Entre 1 000 et  3 499 habitants,Saint-Jean-d'Assé,Saint-Jean-d'Assé (72),,,610,2.06,19310,5,52
SAINT-JEAN-DE-LA-MOTTE,72291,Entre 500 et 999 habitants,Saint-Jean-de-la-Motte,Saint-Jean-de-la-Motte (72),,,384,1.80,18985,4,82
SAINT-JEAN-DES-ECHELLES,72292,Moins de 500 habitants,Saint-Jean-des-Échelles,Saint-Jean-des-Échelles (72),,,100,1.92,20090,6,23
SAINT-LEONARD-DES-BOIS,72294,Entre 500 et 999 habitants,Saint-Léonard-des-Bois,Saint-Léonard-des-Bois (72),,,238,1.74,18271,3,87
SAINT-LONGIS,72295,Entre 500 et 999 habitants,Saint-Longis,Saint-Longis (72),,,214,1.86,20904,7,12
SAINT-MAIXENT,72296,Entre 500 et 999 habitants,Saint-Maixent,Saint-Maixent (72),,,304,1.91,19828,6,78
SAINT-MARCEAU,72297,Entre 500 et 999 habitants,Saint-Marceau,Saint-Marceau (72),,,203,1.97,20006,6,39
